split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
test,train_windows_nonoverlap,ScPo,60000,60000,1.9290033284505208,1.9297333333333333,32768,127,0.01,0.003875732421875,60000,15000,15615,16025,14540,0.9648666666666667,0.24121666666666666,0.9268651937239833
test,train_windows_nonoverlap,EsCo,60000,60000,1.9101876057942708,1.9109333333333334,32768,127,0.01,0.003875732421875,60000,15000,17676,16357,16472,0.9554666666666667,0.23886666666666667,0.81081692690654
test,train_windows_nonoverlap,YeMi,14739,14739,1.8330453139841576,1.833502951353552,32768,127,0.01,0.003875732421875,14739,3685,4285,3974,4104,0.916751475676776,0.229187868919194,0.7883313885647608
test,train_windows_nonoverlap,BuEb,3788,3786,1.9561782087274664,1.954569466455362,32768,127,0.01,0.003875732421875,3788,947,1244,1114,1300,0.977284733227681,0.2441921858500528,0.7435691318327974
test,train_windows_nonoverlap,AgPh,8794,8793,1.936104569597265,1.9360855225747753,32768,127,0.01,0.003875732421875,8794,2199,2758,2486,2684,0.9680427612873876,0.24198317034341596,0.7715736040609137
test,train_windows_nonoverlap,GaGa,60000,60000,1.8366233439127604,1.8374666666666666,32768,127,0.01,0.003875732421875,60000,15000,17322,16132,16200,0.9187333333333333,0.22968333333333332,0.7955778778432052
test,train_windows_nonoverlap,DrMe,60000,60000,1.8961746907552084,1.8969333333333334,32768,127,0.01,0.003875732421875,60000,15000,17743,16415,16532,0.9484666666666667,0.23711666666666667,0.8018373443047963
test,train_windows_nonoverlap,EnIn,60000,60000,1.8819713745117188,1.8828,32768,127,0.01,0.003875732421875,60000,15000,17412,16335,16240,0.9414,0.23535,0.8109924190213645
test,train_windows_nonoverlap,PlFa,60000,60000,1.8013641479492188,1.8021333333333334,32768,127,0.01,0.003875732421875,60000,15000,16617,15857,15620,0.9010666666666667,0.22526666666666667,0.8133838839742432
test,train_windows_nonoverlap,HePy,60000,60000,1.8729612223307293,1.8737333333333333,32768,127,0.01,0.003875732421875,60000,15000,17213,16144,16172,0.9368666666666666,0.23421666666666666,0.8164178237378725
