split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
val,train_windows_nonoverlap,DrMe,100000,99999,1.897473862433937,1.898258982589826,100000,25000,28925,27193,27156,0.949129491294913,0.23728,0.8203284356093344
val,train_windows_nonoverlap,EnIn,100000,99999,1.919095670448892,1.9199391993919939,100000,25000,28906,27258,27344,0.9599695996959969,0.23999,0.8302428561544316
val,train_windows_nonoverlap,PlFa,100000,99999,1.8276880254154104,1.8284982849828497,100000,25000,27676,26456,26052,0.9142491424914249,0.22856,0.8258418846654141
val,train_windows_nonoverlap,HePy,83391,83391,1.8931691664387775,1.8940173400007194,83391,20848,23585,22287,22204,0.9470086700003597,0.23675216750008993,0.8370998516005936
val,train_windows_nonoverlap,AeCa,79552,79551,1.8857100307016097,1.8864879134140362,79552,19888,22659,21204,21200,0.9432439567070181,0.2358080249396621,0.8278829604130808
val,train_windows_nonoverlap,HaHi,100000,99999,1.8768870183819026,1.8776987769877698,100000,25000,28863,26883,27128,0.9388493884938849,0.23471,0.8131864324567786
val,train_windows_nonoverlap,AnCa,100000,99999,1.7925071047585477,1.7932979329793297,100000,25000,28374,26949,26460,0.8966489664896649,0.22416,0.7900190315077184
val,train_windows_nonoverlap,WaMe,100000,99999,1.9566293123868739,1.957379573795738,100000,25000,29181,27284,27592,0.978689786897869,0.24467,0.8384565299338611
test,train_windows_nonoverlap,OrSa,100000,99999,1.902021412792253,1.902819028190282,100000,25000,28535,27109,26012,0.951409514095141,0.23785,0.8335377606448221
test,train_windows_nonoverlap,HoSa,100000,99999,1.7906048738221758,1.7913779137791377,100000,25000,28313,26779,26452,0.8956889568895688,0.22392,0.7908734503584925
test,train_windows_nonoverlap,DaRe,100000,99999,1.8312370208663025,1.8320183201832019,100000,25000,27051,25802,24808,0.9160091600916009,0.229,0.8465491109385974
test,train_windows_nonoverlap,ScPo,100000,99999,1.9500166461625554,1.9508195081950819,100000,25000,29191,27347,27640,0.9754097540975409,0.24385,0.8353602137645164
test,train_windows_nonoverlap,EsCo,100000,99999,1.9335278264892024,1.9344193441934419,100000,25000,29030,27241,27476,0.9672096720967209,0.2418,0.8329314502239064
test,train_windows_nonoverlap,YeMi,3685,3684,1.8865022773204227,1.8827361563517915,3685,922,1102,1036,1152,0.9413680781758957,0.23527815468113975,0.7867513611615246
test,train_windows_nonoverlap,BuEb,947,945,1.9441991412450397,1.9386243386243387,947,237,344,317,432,0.9693121693121693,0.24181626187961985,0.6656976744186046
test,train_windows_nonoverlap,AgPh,2199,2199,1.9471061952876307,1.9427012278308322,2199,550,738,675,820,0.9713506139154161,0.24283765347885403,0.7235772357723578
test,train_windows_nonoverlap,GaGa,100000,99999,1.845829024696497,1.8463384633846338,100000,25000,28654,26977,26932,0.9231692316923169,0.23079,0.8054372862427585
test,train_windows_nonoverlap,DrMe,100000,99999,1.9415950848961614,1.9424194241942419,100000,25000,28496,27297,26756,0.9712097120971209,0.2428,0.8520494104435711
test,train_windows_nonoverlap,EnIn,100000,99999,1.8927145130826308,1.893538935389354,100000,25000,28549,27024,26992,0.946769467694677,0.23669,0.8290658166660829
test,train_windows_nonoverlap,PlFa,100000,99999,1.8254919829471732,1.8263382633826337,100000,25000,27665,26635,26216,0.9131691316913169,0.22829,0.8251942888125791
test,train_windows_nonoverlap,HePy,83392,83391,1.8864100463865723,1.8873019870249788,83392,20848,23353,22256,21912,0.9436509935124894,0.23590991941673062,0.8424185329507986
test,train_windows_nonoverlap,AeCa,79553,79551,1.909296394765622,1.9101205515958315,79553,19889,23022,21473,21420,0.9550602757979157,0.23875906628285545,0.8250369212058032
test,train_windows_nonoverlap,HaHi,100000,99999,1.8629221570536019,1.8637786377863779,100000,25000,28615,26684,26944,0.9318893188931889,0.23297,0.8141534160405381
test,train_windows_nonoverlap,AnCa,100000,99999,1.8043812469374694,1.8050580505805058,100000,25000,28439,26999,26440,0.9025290252902529,0.22563,0.7933823270860438
test,train_windows_nonoverlap,WaMe,100000,99999,1.9566804945393204,1.957459574595746,100000,25000,28831,27201,27236,0.978729787297873,0.24468,0.8486698345530852
