split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
val,windows_nonoverlap,DaRe,60000,60000,1.563355712890625,1.5646666666666667,2097152,15659,0.01,0.007466793060302734,60000,15000,10082,11576,8944,0.7823333333333333,0.19558333333333333,1.1639555643721484
val,windows_nonoverlap,ScPo,60000,60000,1.968941357421875,1.9702666666666666,2097152,15659,0.01,0.007466793060302734,60000,15000,17884,16418,16756,0.9851333333333333,0.24628333333333333,0.8262692909863565
val,windows_nonoverlap,EsCo,60000,60000,1.9787825398763021,1.9794666666666667,2097152,15659,0.01,0.007466793060302734,60000,15000,17640,16281,16536,0.9897333333333334,0.24743333333333334,0.841609977324263
val,windows_nonoverlap,YeMi,14737,14737,1.8485926552851666,1.8500373210287033,2097152,15659,0.01,0.007466793060302734,14737,3685,4301,3989,4140,0.9250186605143517,0.23125466512858792,0.7923738665426645
val,windows_nonoverlap,BuEb,3788,3788,1.9799150186959642,1.9809926082365363,2097152,15659,0.01,0.007466793060302734,3788,947,1245,1104,1312,0.9904963041182682,0.24762407602956704,0.7534136546184739
val,windows_nonoverlap,AgPh,8794,8794,1.9614917997178474,1.963156697748465,2097152,15659,0.01,0.007466793060302734,8794,2199,2737,2486,2688,0.9815783488742325,0.2453945872185581,0.7884545122396784
val,windows_nonoverlap,GaGa,60000,60000,1.926361055501302,1.9277333333333333,2097152,15659,0.01,0.007466793060302734,60000,15000,17534,16325,16420,0.9638666666666666,0.24096666666666666,0.8245694080073
val,windows_nonoverlap,DrMe,60000,60000,1.9412181315104167,1.9425333333333332,2097152,15659,0.01,0.007466793060302734,60000,15000,17705,16452,16524,0.9712666666666666,0.24281666666666665,0.8228748940977125
val,windows_nonoverlap,EnIn,60000,60000,1.9354597574869792,1.9368,2097152,15659,0.01,0.007466793060302734,60000,15000,17543,16349,16496,0.9684,0.2421,0.8280225731060822
val,windows_nonoverlap,PlFa,60000,60000,1.8569047932942708,1.8582666666666667,2097152,15659,0.01,0.007466793060302734,60000,15000,16964,15950,15940,0.9291333333333334,0.23228333333333334,0.821563310539967
val,windows_nonoverlap,HePy,60000,60000,1.9303787719726562,1.9316,2097152,15659,0.01,0.007466793060302734,60000,15000,17069,16102,15984,0.9658,0.24145,0.8487316187240026
val,windows_nonoverlap,AeCa,60000,60000,1.9762695556640626,1.9774666666666667,2097152,15659,0.01,0.007466793060302734,60000,15000,17702,16309,16648,0.9887333333333334,0.24718333333333334,0.837814936165405
val,windows_nonoverlap,HaHi,60000,60000,1.899749560546875,1.9001333333333332,2097152,15659,0.01,0.007466793060302734,60000,15000,17253,15947,16216,0.9500666666666666,0.23751666666666665,0.8260012751405552
val,windows_nonoverlap,AnCa,60000,60000,1.9235334594726563,1.9249333333333334,2097152,15659,0.01,0.007466793060302734,60000,15000,17523,16321,16352,0.9624666666666667,0.24061666666666667,0.8238886035496205
val,windows_nonoverlap,WaMe,60000,60000,1.9734759806315103,1.9748,2097152,15659,0.01,0.007466793060302734,60000,15000,17781,16358,16696,0.9874,0.24685,0.8329677745908554
test,windows_nonoverlap,OrSa,60000,60000,1.9291779622395833,1.9304,2097152,15659,0.01,0.007466793060302734,60000,15000,17750,16480,16556,0.9652,0.2413,0.8156619718309859
test,windows_nonoverlap,HoSa,60000,60000,1.9001509887695311,1.9016,2097152,15659,0.01,0.007466793060302734,60000,15000,17321,16193,16188,0.9508,0.2377,0.8233935685006639
test,windows_nonoverlap,DaRe,60000,60000,1.883802734375,1.8852,2097152,15659,0.01,0.007466793060302734,60000,15000,17295,16196,16160,0.9426,0.23565,0.8175195143104944
test,windows_nonoverlap,ScPo,60000,60000,1.9393163614908855,1.9405333333333334,2097152,15659,0.01,0.007466793060302734,60000,15000,15615,16025,14540,0.9702666666666667,0.24256666666666668,0.9320525136087096
test,windows_nonoverlap,EsCo,60000,60000,1.9752726765950521,1.9765333333333333,2097152,15659,0.01,0.007466793060302734,60000,15000,17676,16357,16472,0.9882666666666666,0.24706666666666666,0.8386512785698121
test,windows_nonoverlap,YeMi,14739,14739,1.8424333069895347,1.8438157269828346,2097152,15659,0.01,0.007466793060302734,14739,3685,4285,3974,4104,0.9219078634914173,0.23047696587285432,0.7927654609101517
test,windows_nonoverlap,BuEb,3788,3788,1.9751326531769733,1.9767687434002112,2097152,15659,0.01,0.007466793060302734,3788,947,1244,1114,1300,0.9883843717001056,0.2470960929250264,0.752411575562701
test,windows_nonoverlap,AgPh,8794,8794,1.9631871806238628,1.964976120081874,2097152,15659,0.01,0.007466793060302734,8794,2199,2758,2486,2684,0.982488060040937,0.24562201501023426,0.7831762146482959
test,windows_nonoverlap,GaGa,60000,60000,1.8923605875651042,1.8937333333333333,2097152,15659,0.01,0.007466793060302734,60000,15000,17322,16132,16200,0.9468666666666666,0.23671666666666666,0.8199399607435631
test,windows_nonoverlap,DrMe,60000,60000,1.93866298828125,1.94,2097152,15659,0.01,0.007466793060302734,60000,15000,17743,16415,16532,0.97,0.2425,0.8200417065885138
test,windows_nonoverlap,EnIn,60000,60000,1.9312320027669272,1.9325333333333334,2097152,15659,0.01,0.007466793060302734,60000,15000,17412,16335,16240,0.9662666666666667,0.24156666666666668,0.8324144268320698
test,windows_nonoverlap,PlFa,60000,60000,1.8267430948893228,1.8281333333333334,2097152,15659,0.01,0.007466793060302734,60000,15000,16617,15857,15620,0.9140666666666667,0.22851666666666667,0.8251188541854727
test,windows_nonoverlap,HePy,60000,60000,1.9517294759114583,1.9529333333333334,2097152,15659,0.01,0.007466793060302734,60000,15000,17213,16144,16172,0.9764666666666667,0.24411666666666668,0.8509266252251205
test,windows_nonoverlap,AeCa,60000,60000,1.9691996256510416,1.9704,2097152,15659,0.01,0.007466793060302734,60000,15000,17656,16336,16592,0.9852,0.2463,0.8369959220661531
test,windows_nonoverlap,HaHi,60000,60000,2.01991181640625,2.0165333333333333,2097152,15659,0.01,0.007466793060302734,60000,15000,17702,16204,16604,1.0082666666666666,0.25206666666666666,0.8543667382216699
test,windows_nonoverlap,AnCa,60000,60000,1.9108105590820312,1.9121333333333332,2097152,15659,0.01,0.007466793060302734,60000,15000,16737,16107,15548,0.9560666666666666,0.23901666666666666,0.8568441178227878
test,windows_nonoverlap,WaMe,60000,60000,1.9689634847005208,1.9702666666666666,2097152,15659,0.01,0.007466793060302734,60000,15000,17791,16379,16700,0.9851333333333333,0.24628333333333333,0.8305884998032713
