split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
test,windows_nonoverlap,BuEb,,3788,3788,513.5091764133861,0.9482576557550159,fixed_token_units,2,32768,26,0.01,0.00079345703125,1893,,2,16,0.0008678287267684937,0.013603240251541138,0.0003433153033256531,0.023577719926834106,0.03922025114297867,3788,947,1244,1114,1300,0.47412882787750793,0.11853220696937698,0.3609324758842444
test,windows_nonoverlap,AgPh,,8794,8794,513.7869905528628,0.9579258585399136,fixed_token_units,2,32768,26,0.01,0.00079345703125,4395,,4,32,0.0012630000710487366,0.03267756104469299,0.0004121363162994385,0.052485205233097076,0.0679873675107956,8794,2199,2758,2486,2684,0.4789629292699568,0.1197407323174892,0.38179840464104425
test,windows_nonoverlap,GaGa,,60000,60000,512.93237578125,0.9221333333333334,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005438312888145447,0.21717290580272675,0.001144304871559143,0.35533716529607773,0.388952799141407,60000,15000,17322,16132,16200,0.4610666666666667,0.11526666666666667,0.39926105530539197
test,windows_nonoverlap,DrMe,,60000,60000,512.9936830729166,0.9834666666666667,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005456596612930298,0.2297910675406456,0.0010684505105018616,0.37941718101501465,0.41216469556093216,60000,15000,17743,16415,16532,0.49173333333333336,0.12293333333333334,0.4157132390238404
test,windows_nonoverlap,EnIn,,60000,60000,512.9680247395834,0.9577333333333333,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005360253155231476,0.21839655935764313,0.0009681805968284607,0.36692727357149124,0.40132977813482285,60000,15000,17412,16335,16240,0.47886666666666666,0.11971666666666667,0.41253158741098095
test,windows_nonoverlap,PlFa,,60000,60000,512.9002958333333,0.8901333333333333,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005437985062599182,0.2429952770471573,0.001049928367137909,0.3985721692442894,0.4321763142943382,60000,15000,16617,15857,15620,0.44506666666666667,0.11126666666666667,0.4017572365649636
test,windows_nonoverlap,HePy,,60000,60000,512.9741401041666,0.9638666666666666,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005454361438751221,0.23414118587970734,0.0010007023811340332,0.3888685777783394,0.42353256791830063,60000,15000,17213,16144,16172,0.4819333333333333,0.12048333333333333,0.41997327601231627
test,windows_nonoverlap,AeCa,,60000,60000,513.0118258463542,1.0016,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.0054831430315971375,0.24748869240283966,0.0010146498680114746,0.41107936203479767,0.4459359422326088,60000,15000,17656,16336,16592,0.5008,0.1252,0.42546443135478024
test,windows_nonoverlap,HaHi,,60000,60000,513.030571875,1.0204,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005493074655532837,0.25094571709632874,0.001168377697467804,0.4174408093094826,0.4524439871311188,60000,15000,17702,16204,16604,0.5102,0.12755,0.4323240311829172
test,windows_nonoverlap,AnCa,,60000,60000,512.9349220052084,0.9246666666666666,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005489163100719452,0.24072280526161194,0.0010338202118873596,0.39477281272411346,0.4295649304986,60000,15000,16737,16107,15548,0.4623333333333333,0.11558333333333333,0.4143514369361295
test,windows_nonoverlap,WaMe,,60000,60000,512.9758211588542,0.9656,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005395755171775818,0.2342808097600937,0.0011005476117134094,0.38426967710256577,0.41835470497608185,60000,15000,17791,16379,16700,0.4828,0.1207,0.4070597493114496
