split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
test,train_windows_nonoverlap,DaRe,60000,60000,1.697155859375,1.6978666666666666,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,101826.3515625,0,3,0.042586542665958405,0.19951815903186798,0.0014536753296852112,0.3980189487338066,0.4092260003089905,60000,15000,17295,16196,16160,0.8489333333333333,0.21223333333333333,0.7362821624747037
test,train_windows_nonoverlap,ScPo,60000,60000,1.9094341145833333,1.9102666666666666,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,114563.046875,0,3,0.0421249121427536,0.19719382375478745,0.0013861656188964844,0.3977920189499855,0.4075886905193329,60000,15000,15615,16025,14540,0.9551333333333333,0.23878333333333332,0.91751520973423
test,train_windows_nonoverlap,EsCo,60000,60000,1.8817453125,1.8825333333333334,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,112901.71875,0,3,0.042506247758865356,0.19653871655464172,0.0013870596885681152,0.3986630067229271,0.4084557518362999,60000,15000,17676,16357,16472,0.9412666666666667,0.23531666666666667,0.7987666892962209
test,train_windows_nonoverlap,YeMi,14739,14739,1.7934043237753579,1.7944229594952168,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,7368,26420.986328125,3,12,0.011002011597156525,0.05063773691654205,0.00044292211532592773,0.09849231690168381,0.10402823984622955,14739,3685,4285,3974,4104,0.8972114797476084,0.2243028699369021,0.7715285880980164
test,train_windows_nonoverlap,BuEb,3788,3788,1.9510550896746304,1.955649419218585,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,1893,7381.5966796875,2,9,0.004197239875793457,0.011472135782241821,0.0002615228295326233,0.029551640152931213,0.03570348024368286,3788,947,1244,1114,1300,0.9778247096092925,0.24445617740232312,0.7443729903536977
test,train_windows_nonoverlap,AgPh,8794,8794,1.929685279025472,1.931316806913805,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,4395,16954.65234375,4,15,0.007392622530460358,0.027432486414909363,0.0003634616732597351,0.055736519396305084,0.060816481709480286,8794,2199,2758,2486,2684,0.9656584034569025,0.24141460086422561,0.7697606961566352
test,train_windows_nonoverlap,GaGa,60000,60000,1.8101032552083334,1.8109333333333333,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,108603.1953125,0,3,0.04238270968198776,0.1940944418311119,0.0015634521842002869,0.40041229128837585,0.41019095480442047,60000,15000,17322,16132,16200,0.9054666666666666,0.22636666666666666,0.7840895970442212
test,train_windows_nonoverlap,DrMe,60000,60000,1.8788112630208333,1.8796,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,112725.67578125,0,3,0.04251787066459656,0.2089225873351097,0.0015040934085845947,0.41103288531303406,0.421937957406044,60000,15000,17743,16415,16532,0.9398,0.23495,0.7945105111875106
test,train_windows_nonoverlap,EnIn,60000,60000,1.8649850260416667,1.8658666666666666,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,111896.1015625,0,3,0.042144596576690674,0.189259871840477,0.0015090033411979675,0.3895675763487816,0.3995072469115257,60000,15000,17412,16335,16240,0.9329333333333333,0.23323333333333332,0.8036985986675855
test,train_windows_nonoverlap,PlFa,60000,60000,1.7691720052083333,1.77,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,106147.3203125,0,3,0.04241502285003662,0.19441992044448853,0.0014389455318450928,0.39681028574705124,0.4071017727255821,60000,15000,16617,15857,15620,0.885,0.22125,0.798880664379852
test,train_windows_nonoverlap,HePy,60000,60000,1.828165234375,1.8289333333333333,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,109686.9140625,0,3,0.04203572869300842,0.19195584952831268,0.0014335736632347107,0.4012591391801834,0.41129565238952637,60000,15000,17213,16144,16172,0.9144666666666666,0.22861666666666666,0.7968976936036717
test,train_windows_nonoverlap,AeCa,60000,60000,1.8834279947916666,1.8842666666666668,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,113002.6796875,0,3,0.042644813656806946,0.20542094111442566,0.0015194788575172424,0.41612258553504944,0.42681875824928284,60000,15000,17656,16336,16592,0.9421333333333334,0.23553333333333334,0.800407793384685
test,train_windows_nonoverlap,HaHi,60000,60000,1.9152271484375,1.916,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,114910.62890625,0,3,0.042384080588817596,0.18431183695793152,0.00152665376663208,0.39627832919359207,0.40753695368766785,60000,15000,17702,16204,16604,0.958,0.2395,0.8117726810529884
test,train_windows_nonoverlap,AnCa,60000,60000,1.577218359375,1.578,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,94630.1015625,0,3,0.0422070175409317,0.1918722242116928,0.0014947056770324707,0.3816889673471451,0.39238370954990387,60000,15000,16737,16107,15548,0.789,0.19725,0.707115970604051
test,train_windows_nonoverlap,WaMe,60000,60000,1.92098203125,1.9218666666666666,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,115255.921875,0,3,0.04306112229824066,0.18495593965053558,0.0016150474548339844,0.3851483464241028,0.3956550061702728,60000,15000,17791,16379,16700,0.9609333333333333,0.24023333333333333,0.8101849249620595
