split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,homo_sapiens,100000,99999,0.6842066432348741,0.6850468504685047,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3198544830083847,0.0043322741985321045,0.5135965868830681,0.6381160914897919,100000,25000,12205,10966,11076,0.34252342523425233,0.08563,0.7015977058582548
train,windows_nonoverlap,homo_sapiens,100000,99999,1.4303039288842443,1.4308143081430815,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.33226507157087326,0.0043678805232048035,0.5992679744958878,0.7298653051257133,100000,25000,25421,24002,23688,0.7154071540715408,0.17885,0.703552181267456
train,windows_nonoverlap,homo_sapiens,100000,99999,0.5268546790902326,0.5276852768527686,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3393004685640335,0.00446850061416626,0.5227499306201935,0.6499458327889442,100000,25000,11148,10182,10040,0.2638426384263843,0.06596,0.59167563688554
train,windows_nonoverlap,homo_sapiens,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.33740200102329254,0.004368290305137634,0.4667757451534271,0.6086637675762177,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,homo_sapiens,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3215160593390465,0.004409477114677429,0.4578057825565338,0.5876974761486053,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,homo_sapiens,100000,99999,1.5563743021368048,1.5567355673556735,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3520190566778183,0.0045012980699539185,0.6318534538149834,0.7678195759654045,100000,25000,25499,24073,23908,0.7783677836778368,0.19459,0.7631279658025805
train,windows_nonoverlap,homo_sapiens,100000,99999,1.3521073693307581,1.3525735257352574,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.33296235650777817,0.004504472017288208,0.5936770066618919,0.7261043936014175,100000,25000,25088,23857,23180,0.6762867628676287,0.16907,0.6739078443877551
train,windows_nonoverlap,homo_sapiens,100000,99999,1.3307384416522234,1.3313733137331374,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.32934919744729996,0.004370465874671936,0.5825173184275627,0.7153692692518234,100000,25000,24159,23025,22364,0.6656866568665687,0.16642,0.6888530154393808
train,windows_nonoverlap,homo_sapiens,100000,99999,0.49455401977992863,0.4956049560495605,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.33394119143486023,0.004433922469615936,0.518067941069603,0.6535844132304192,100000,25000,11541,10505,10344,0.24780247802478025,0.06195,0.5367819079802444
train,windows_nonoverlap,homo_sapiens,100000,99999,1.5334613557221846,1.5340153401534016,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3314068242907524,0.004438705742359161,0.6016408875584602,0.7390744015574455,100000,25000,25658,24283,23920,0.7670076700767008,0.19175,0.7473302673630057
train,windows_nonoverlap,homo_sapiens,100000,99999,0.670790407998303,0.6717667176671767,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3625059351325035,0.004654347896575928,0.5690795183181763,0.711987778544426,100000,25000,11256,10346,10104,0.33588335883358833,0.08397,0.7460021321961621
train,windows_nonoverlap,homo_sapiens,100000,99999,1.5184808641203935,1.5187351873518735,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3225039467215538,0.004311315715312958,0.5890668407082558,0.7223291099071503,100000,25000,25780,24262,24072,0.7593675936759368,0.18984,0.7363847944142746
train,windows_nonoverlap,homo_sapiens,16237,16236,1.9551471899107309,1.9522049765952205,model_symbol,3,32768,127,0.01,0.003875732421875,5413,,,,0.0,0.05607505887746811,0.0009712278842926025,0.10641051828861237,0.14271951466798782,16237,4060,4933,4487,4700,0.9761024882976103,0.2440105930898565,0.8031623758362052
train,windows_nonoverlap,homo_sapiens,100000,99999,0.40441153032517263,0.4053640536405364,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.334687203168869,0.004295483231544495,0.505329817533493,0.6407049521803856,100000,25000,5819,6027,4784,0.2026820268202682,0.05067,0.8707681732256402
train,windows_nonoverlap,homo_sapiens,100000,99999,0.40441153032517263,0.4053640536405364,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3262728303670883,0.00449758768081665,0.5005635172128677,0.6276391223073006,100000,25000,5819,6027,4784,0.2026820268202682,0.05067,0.8707681732256402
train,windows_nonoverlap,homo_sapiens,100000,99999,0.8249429228434588,0.8259282592825928,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3455772027373314,0.004515625536441803,0.5595550984144211,0.6950369775295258,100000,25000,15326,13642,13844,0.4129641296412964,0.10324,0.6736265170298839
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3327332213521004,0.004520043730735779,0.46925418823957443,0.6056545898318291,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3341786414384842,0.004512570798397064,0.4749051705002785,0.6047634929418564,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3517555668950081,0.004606485366821289,0.494261234998703,0.634709320962429,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.31845856457948685,0.004371054470539093,0.4528978243470192,0.5797049403190613,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3319096788764,0.004282183945178986,0.46741172671318054,0.6044712737202644,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.33637014776468277,0.004525929689407349,0.47189392149448395,0.6091204211115837,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3464938774704933,0.004462338984012604,0.4827507808804512,0.6218840852379799,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3590693324804306,0.004520535469055176,0.4974236711859703,0.6398842707276344,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3537357375025749,0.004451848566532135,0.49136335402727127,0.6315441057085991,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.38896147161722183,0.004828095436096191,0.5318807289004326,0.6881423443555832,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4361535906791687,0.004931218922138214,0.5831066146492958,0.7529348731040955,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3512229919433594,0.004722923040390015,0.48959799110889435,0.6284922808408737,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3508627340197563,0.004704795777797699,0.4911457672715187,0.628852903842926,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3381521850824356,0.004506304860115051,0.47760307788848877,0.6086128354072571,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3493737205862999,0.004491671919822693,0.48517631739377975,0.6280332282185555,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,mus_musculus,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.34720785915851593,0.00450240820646286,0.4832047075033188,0.6236307397484779,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
