split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
test,windows_nonoverlap,bos_taurus,bos_taurus:19,100000,99999,1.6722515003470346,1.6724967249672498,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.44666753699129913,0.011209744945517741,0.7157825600152137,0.8714292609656695,100000,25000,28113,26712,25984,0.8362483624836249,0.20906,0.7436417315832533
test,windows_nonoverlap,bos_taurus,bos_taurus:2,100000,99999,1.522924312495078,1.5230552305523055,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4295454680395778,0.00789603395969607,0.6719786289904732,0.8170535849494627,100000,25000,27940,26432,25708,0.7615276152761528,0.19038,0.6813886900501074
test,windows_nonoverlap,bos_taurus,bos_taurus:20,100000,99999,1.7369148203200782,1.7373773737737377,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4582611659716349,0.011831468989839777,0.7419049840100342,0.8909546350041637,100000,25000,27318,26183,25520,0.8686886868868688,0.21717,0.7949703492202943
test,windows_nonoverlap,bos_taurus,bos_taurus:21,100000,99999,1.7483523785433166,1.7481774817748177,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4224866329750512,0.009118369009229355,0.6750682830170263,0.8245328130142298,100000,25000,27937,26605,26224,0.8740887408874088,0.21852,0.7821884955435444
test,windows_nonoverlap,bos_taurus,bos_taurus:22,100000,99999,1.568145073540579,1.5686556865568655,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.41377036400081124,0.009036967050633393,0.6630763620050857,0.8136252340627834,100000,25000,27269,26228,24956,0.7843278432784327,0.19608,0.7190582712970772
test,windows_nonoverlap,bos_taurus,bos_taurus:23,100000,99999,1.623624800701132,1.6239362393623937,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.48718474905763287,0.011101345982751809,0.7731590859912103,0.93463945997064,100000,25000,28188,26727,25804,0.8119681196811969,0.20299,0.720129132964382
test,windows_nonoverlap,bos_taurus,bos_taurus:24,100000,99999,1.4915299470377517,1.4913749137491374,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.42248474901134614,0.010362430024542846,0.6675302690127864,0.8192087880452164,100000,25000,26252,24773,23624,0.7456874568745687,0.18642,0.7101173243943318
test,windows_nonoverlap,bos_taurus,bos_taurus:25,100000,99999,1.7593609212459311,1.7599375993759938,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.432739395997487,0.00886305104359053,0.7021122950245626,0.8445354260475142,100000,25000,27853,26629,26252,0.8799687996879969,0.21999,0.7898251534843643
test,windows_nonoverlap,bos_taurus,bos_taurus:26,100000,99999,1.671754940205652,1.6721767217672177,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4322529020573711,0.010581278940662742,0.6921435270051006,0.8537061229726532,100000,25000,28274,26693,26100,0.8360883608836088,0.20902,0.7392657565254297
test,windows_nonoverlap,bos_taurus,bos_taurus:27,100000,99999,1.3027642398006012,1.3031330313303133,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4377886429138016,0.010225607969914563,0.6689416210138006,0.8179001759708626,100000,25000,27561,26222,24388,0.6515665156651567,0.16289,0.5910162911360255
