split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,EnIn,60000,60000,1.805099812825521,1.8069333333333333,2097152,19564,0.01,0.009328842163085938,60000,15000,17354,16196,16260,0.9034666666666666,0.22586666666666666,0.7809150628097269
train,train_windows_nonoverlap,PlFa,60000,60000,1.665846561686198,1.6677333333333333,2097152,19564,0.01,0.009328842163085938,60000,15000,16387,15862,15196,0.8338666666666666,0.20846666666666666,0.763287972173064
train,train_windows_nonoverlap,HePy,60000,60000,1.7723238525390625,1.7741333333333333,2097152,19564,0.01,0.009328842163085938,60000,15000,17149,16132,16072,0.8870666666666667,0.22176666666666667,0.7759053006006181
train,train_windows_nonoverlap,AeCa,60000,60000,1.8718714680989583,1.8737333333333333,2097152,19564,0.01,0.009328842163085938,60000,15000,17801,16386,16700,0.9368666666666666,0.23421666666666666,0.7894500308971406
train,train_windows_nonoverlap,HaHi,60000,60000,1.7602041910807291,1.762,2097152,19564,0.01,0.009328842163085938,60000,15000,17222,15955,16148,0.881,0.22025,0.7673324817094415
train,train_windows_nonoverlap,AnCa,60000,60000,1.385699927775065,1.3876,2097152,19564,0.01,0.009328842163085938,60000,15000,17422,16298,16268,0.6938,0.17345,0.5973481804614855
train,train_windows_nonoverlap,WaMe,60000,60000,1.916080253092448,1.9178666666666666,2097152,19564,0.01,0.009328842163085938,60000,15000,17805,16375,16700,0.9589333333333333,0.23973333333333333,0.8078629598427408
val,train_windows_nonoverlap,OrSa,60000,60000,1.718244325764974,1.7198666666666667,2097152,19564,0.01,0.009328842163085938,60000,15000,17607,16481,16400,0.8599333333333333,0.21498333333333333,0.7326063497472596
val,train_windows_nonoverlap,HoSa,60000,60000,1.4195907491048176,1.4212,2097152,19564,0.01,0.009328842163085938,60000,15000,17118,16105,15924,0.7106,0.17765,0.6226778829302488
val,train_windows_nonoverlap,DaRe,60000,60000,1.4880056437174478,1.4896,2097152,19564,0.01,0.009328842163085938,60000,15000,10082,11576,8944,0.7448,0.1862,1.1081134695496926
val,train_windows_nonoverlap,ScPo,60000,60000,1.9295096516927084,1.9313333333333333,2097152,19564,0.01,0.009328842163085938,60000,15000,17884,16418,16756,0.9656666666666667,0.24141666666666667,0.8099418474614181
val,train_windows_nonoverlap,EsCo,60000,60000,1.8659819661458332,1.8677333333333332,2097152,19564,0.01,0.009328842163085938,60000,15000,17640,16281,16536,0.9338666666666666,0.23346666666666666,0.7941043083900227
val,train_windows_nonoverlap,YeMi,14737,14737,1.8060194803576881,1.807152066227862,2097152,19564,0.01,0.009328842163085938,14737,3685,4301,3989,4140,0.903576033113931,0.22589400827848274,0.7740060451057893
val,train_windows_nonoverlap,BuEb,3788,3788,1.9737164699792107,1.9746568109820486,2097152,19564,0.01,0.009328842163085938,3788,947,1245,1104,1312,0.9873284054910243,0.24683210137275607,0.751004016064257
val,train_windows_nonoverlap,AgPh,8794,8794,1.9287963894949682,1.9294973845803958,2097152,19564,0.01,0.009328842163085938,8794,2199,2737,2486,2688,0.9647486922901979,0.24118717307254947,0.7749360613810742
val,train_windows_nonoverlap,GaGa,60000,60000,1.8417361490885418,1.8434666666666666,2097152,19564,0.01,0.009328842163085938,60000,15000,17534,16325,16420,0.9217333333333333,0.23043333333333332,0.7885251511349378
val,train_windows_nonoverlap,DrMe,60000,60000,1.8882604817708333,1.89,2097152,19564,0.01,0.009328842163085938,60000,15000,17705,16452,16524,0.945,0.23625,0.8006212934199378
val,train_windows_nonoverlap,EnIn,60000,60000,1.8810105631510416,1.8828,2097152,19564,0.01,0.009328842163085938,60000,15000,17543,16349,16496,0.9414,0.23535,0.8049364418856524
val,train_windows_nonoverlap,PlFa,60000,60000,1.8059814737955728,1.8078666666666667,2097152,19564,0.01,0.009328842163085938,60000,15000,16964,15950,15940,0.9039333333333334,0.22598333333333334,0.7992808299929262
